indicator,ISO Country code,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP 2022,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,unemployment (%) 2018,unemployment (%) 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019
Niger,NER,26.9,28.5,29.6,30,1229,1276,1288,1310,5.1,4.49,2.96,2.58,3.46,3.53,3.84,,3.84,68,30.3,31.4,2.6,0.75,1.84%,1.80%
Nigeria,NGA,"1,009.70","1,032.00","1,013.50","1,050.50",5278,5352,5186,5459,,,,,,,,,,215,66.5,71.5,5,9.79,0.97%,0.50%
Norway,NOR,341.8,344.3,341.9,355.3,69808,66799,62645,79201,7.7,7.57,8.03,7.91,7.64,,,,7.64,"6,222",8271.9,8007.4,4.8,4.99,1.84%,1.70%
Oman,OMN,157.4,155.6,150.7,,33373,32604,31118,,,,,5.84,5.21,5.41,,,5.41,"1,636",678,624.7,17.5,3.12,7.34%,8.80%
Pakistan,PAK,"1,123.60","1,151.60","1,136.30","1,204.90",5421,5542,5426,5878,2.47,2.65,3,2.9,,2.51,,,2.51,134,42.9,39.5,5.9,4.35,3.83%,4.00%
Panama,PAN,129.6,133.5,109.6,126.4,31781,32767,26780,31680,,2.84,2.85,2.88,2.88,3.13,3.91,,3.91,"1,543",1131.7,1192.8,5.8,12.09,,0.00%
Papua New Guinea,PNG,36.1,37.7,36.4,36.9,4290,4474,4286,4445,,,,1.96,1.87,,,,1.87,99,63.5,65.1,2.5,2.75,0.38%,0.40%
Paraguay,PRY,89.2,88.9,88.1,91.8,13134,13148,13035,13976,4.79,3.34,,3.09,3.28,3.47,3.3,,3.3,724,390,388.4,5.4,7.21,0.97%,1.00%
Peru,PER,408.9,418,372.2,421.9,13087,13401,11908,13895,3.7,3.97,3.81,3.93,3.71,3.82,4.25,,4.25,671,365.9,370.1,4.9,4.83,1.12%,1.20%
Philippines,PHL,908.3,963.8,872.1,921.8,8720,9291,8394,9120,2.79,3.33,3.57,4.4,3.13,3.23,3.88,,3.88,323,128.6,142.1,5.9,2.41,1.04%,1.00%
